Year,Month,TotalRainfall,MostRainfallInDay,RainDays
1979.00,1.00,112.20,18.70,21.00
1979.00,2.00,191.80,36.10,17.00
1979.00,3.00,102.50,39.30,24.00
1979.00,4.00,39.60,12.10,14.00
1979.00,5.00,103.60,14.60,20.00
1979.00,6.00,67.30,18.00,14.00
1979.00,7.00,16.20,6.70,6.00
1979.00,8.00,88.80,14.80,18.00
1979.00,9.00,50.70,14.00,13.00
1979.00,10.00,153.70,43.70,20.00
1979.00,11.00,98.70,20.60,26.00
1979.00,12.00,216.40,34.70,26.00
1980.00,1.00,134.20,21.10,20.00
1980.00,2.00,150.10,25.60,19.00
1980.00,3.00,109.30,22.30,24.00
1980.00,4.00,37.90,13.60,7.00
1980.00,5.00,36.90,11.20,9.00
1980.00,6.00,46.60,11.80,22.00
1980.00,7.00,118.20,24.70,22.00
1980.00,8.00,123.00,27.90,16.00
1980.00,9.00,150.70,34.70,17.00
1980.00,10.00,157.50,23.80,21.00
1980.00,11.00,107.90,29.00,17.00
1980.00,12.00,131.50,27.50,23.00
1981.00,1.00,41.80,8.40,16.00
1981.00,2.00,97.00,18.20,16.00
1981.00,3.00,213.50,29.00,22.00
1981.00,4.00,30.30,17.00,8.00
1981.00,5.00,216.40,30.50,26.00
1981.00,6.00,74.10,15.60,14.00
1981.00,7.00,36.20,13.80,17.00
1981.00,8.00,18.70,7.90,8.00
1981.00,9.00,169.10,27.60,23.00
1981.00,10.00,79.50,19.10,23.00
1981.00,11.00,106.70,21.60,19.00
1981.00,12.00,168.50,52.20,18.00
1982.00,1.00,136.00,28.40,22.00
1982.00,2.00,168.00,41.10,22.00
1982.00,3.00,105.50,12.40,20.00
1982.00,4.00,46.40,27.60,7.00
1982.00,5.00,92.70,11.20,21.00
1982.00,6.00,165.40,43.30,17.00
1982.00,7.00,29.00,5.90,11.00
1982.00,8.00,104.90,32.20,18.00
1982.00,9.00,120.60,23.80,19.00
1982.00,10.00,209.50,37.80,24.00
1982.00,11.00,190.30,35.70,25.00
1982.00,12.00,143.40,32.80,24.00
1983.00,1.00,144.90,20.60,23.00
1983.00,2.00,99.90,48.20,15.00
1983.00,3.00,103.60,20.90,22.00
1983.00,4.00,85.60,18.80,19.00
1983.00,5.00,99.90,14.70,22.00
1983.00,6.00,56.40,10.20,13.00
1983.00,7.00,39.20,33.90,8.00
1983.00,8.00,71.40,19.50,13.00
1983.00,9.00,194.40,33.30,26.00
1983.00,10.00,112.90,19.70,20.00
1983.00,11.00,77.40,18.30,13.00
